timestamp,raw_vx,raw_vy,raw_wz
1.75649e+09,-0.0135204,-0.005566,0.0170442
1.75649e+09,0.00592826,-0.0012144,0.0181095
1.75649e+09,0.00264185,-0.0064171,0.015979
1.75649e+09,0.00763727,-0.0160242,0.0117179
1.75649e+09,-0.00316866,0.000569028,0.00213053
1.75649e+09,-0.00550134,0.0020039,0.00958738
1.75649e+09,0.0077955,-0.00366494,0.00639159
1.75649e+09,0.00739397,-0.00746172,0.0138484
1.75649e+09,0.00322703,0.00385873,0
1.75649e+09,0.00998078,0.0113603,0
1.75649e+09,-0.0112636,0.00915236,-0.00319579
1.75649e+09,-0.0115502,0.000909043,-0.0149137
1.75649e+09,0.00392446,-0.00726156,-0.0223706
1.75649e+09,0.0109802,-0.0106876,-0.0170442
1.75649e+09,0.015891,-0.00727769,-0.0170442
1.75649e+09,0.00795974,-0.000539259,-0.0266316
1.75649e+09,-0.00978232,0.00313709,-0.0245011
1.75649e+09,-0.00811451,-0.00308631,-0.0234358
1.75649e+09,-0.00449756,-0.00922176,-0.0319579
1.75649e+09,0.00380896,-0.00414198,-0.0181095
1.75649e+09,0.00229935,0.01268,-0.00958738
1.75649e+09,0.00208387,-0.00231912,-0.0106526
1.75649e+09,-0.00551242,6.17386e-05,-0.0170442
1.75649e+09,0.000701435,-0.00473829,-0.00213053
1.75649e+09,0.00838625,-0.00118019,0.00426106
1.75649e+09,0.00253149,-0.00617935,0
1.75649e+09,0.00915018,-0.0060012,0.00958738
1.75649e+09,-0.00430614,-0.00209235,0.0138484
1.75649e+09,-0.008907,-0.013231,0.0149137
1.75649e+09,0.00544059,-0.000626212,0.0191748
1.75649e+09,0.00837333,0.00311587,0.0149137
1.75649e+09,0.00494578,-0.00590958,0.0127832
1.75649e+09,0.00304213,-0.0065432,0.00852211
1.75649e+09,0.00552022,-0.0017617,0.0117179
1.75649e+09,0.0112696,1.40126e-06,-0.00426106
1.75649e+09,0.0190341,-0.00456099,-0.00106526
1.75649e+09,-0.0054033,-0.00787868,-0.0106526
1.75649e+09,-0.00272954,-0.00189509,-0.0170442
1.75649e+09,0.0002072,-0.000466369,-0.0138484
1.75649e+09,-0.000501079,0.00478244,-0.0245011
