timestamp,dt,x,y,yaw,filtered_vx,filtered_vy,filtered_wz
1.75649e+09,0.0388856,-0.00052575,-0.000216437,0.000662775,-0.0135204,-0.005566,0.0170442
1.75649e+09,0.00305156,-0.000507658,-0.000220131,0.000718037,0.00592826,-0.0012144,0.0181095
1.75649e+09,0.00319396,-0.000499207,-0.000237903,0.000772476,0.00264185,-0.005566,0.0170442
1.75649e+09,0.00312472,-0.000480669,-0.00025528,0.000825734,0.00592826,-0.005566,0.0170442
1.75649e+09,0.00570738,-0.000465565,-0.000287035,0.000916932,0.00264185,-0.005566,0.015979
1.75649e+09,0.000866355,-0.000463275,-0.000288085,0.000927084,0.00264185,-0.0012144,0.0117179
1.75649e+09,0.003432,-0.000454197,-0.000300655,0.000959988,0.00264185,-0.00366494,0.00958738
1.75649e+09,0.00340698,-0.000428994,-0.000313117,0.000992652,0.00739397,-0.00366494,0.00958738
1.75649e+09,0.00321058,-0.000418635,-0.00031128,0.00101317,0.00322703,0.000569028,0.00639159
1.75649e+09,0.00337887,-0.000393659,-0.000304484,0.00103477,0.00739397,0.0020039,0.00639159
1.75649e+09,0.00355363,-0.000367397,-0.000290744,0.00103477,0.00739397,0.00385873,0
1.75649e+09,0.00316994,-0.00035718,-0.000278502,0.00103477,0.00322703,0.00385873,0
1.75649e+09,0.00388218,-0.000344668,-0.000263508,0.00102236,0.00322703,0.00385873,-0.00319579
1.75649e+09,0.00312332,-0.000332414,-0.000260657,0.000975782,0.00392446,0.000909043,-0.0149137
1.75649e+09,0.00312101,-0.000320143,-0.000283308,0.000922587,0.00392446,-0.00726156,-0.0170442
1.75649e+09,0.00333398,-0.000293583,-0.000307493,0.000865762,0.00795974,-0.00726156,-0.0170442
1.75649e+09,0.00325897,-0.000267622,-0.000331136,0.000792857,0.00795974,-0.00726156,-0.0223706
1.75649e+09,0.00326259,-0.000241645,-0.000341185,0.000716396,0.00795974,-0.00308631,-0.0234358
1.75649e+09,0.00346339,-0.000257214,-0.000351885,0.000631539,-0.00449756,-0.00308631,-0.0245011
1.75649e+09,0.00331169,-0.000272102,-0.000362116,0.000550399,-0.00449756,-0.00308631,-0.0245011
1.75649e+09,0.00336601,-0.000287235,-0.000372512,0.000471514,-0.00449756,-0.00308631,-0.0234358
1.75649e+09,0.00361908,-0.000279688,-0.000383678,0.000405974,0.00208387,-0.00308631,-0.0181095
1.75649e+09,0.0029706,-0.000273495,-0.000390565,0.000355342,0.00208387,-0.00231912,-0.0170442
1.75649e+09,0.00329554,-0.000266625,-0.000398205,0.000320236,0.00208387,-0.00231912,-0.0106526
1.75649e+09,0.00331847,-0.000259708,-0.00040212,0.000288421,0.00208387,-0.00118019,-0.00958738
1.75649e+09,0.0034302,-0.000252558,-0.000410073,0.000281113,0.00208387,-0.00231912,-0.00213053
1.75649e+09,0.00328935,-0.000244227,-0.000425656,0.000281113,0.00253149,-0.00473829,0
1.75649e+09,0.00338085,-0.000235664,-0.000441673,0.000295519,0.00253149,-0.00473829,0.00426106
1.75649e+09,0.00340922,-0.000227027,-0.00046213,0.000328204,0.00253149,-0.0060012,0.00958738
1.75649e+09,0.00325566,-0.000218779,-0.000481665,0.00037329,0.00253149,-0.0060012,0.0138484
1.75649e+09,0.00859467,-0.000172012,-0.000499631,0.000501468,0.00544059,-0.00209235,0.0149137
1.75649e+09,0.00135082,-0.00016533,-0.000502454,0.000521614,0.00494578,-0.00209235,0.0149137
1.75649e+09,0.00330366,-0.000148981,-0.000521969,0.000570884,0.00494578,-0.00590958,0.0149137
1.75649e+09,0.00454457,-0.000124251,-0.000529961,0.000628978,0.00544059,-0.0017617,0.0127832
1.75649e+09,0.00205249,-0.000112919,-0.000533569,0.000653029,0.00552022,-0.0017617,0.0117179
1.75649e+09,0.00335712,-9.43765e-05,-0.000548869,0.000681638,0.00552022,-0.00456099,0.00852211
1.75649e+09,0.00538103,-6.46553e-05,-0.000573392,0.000675906,0.00552022,-0.00456099,-0.00106526
1.75649e+09,0.00132081,-5.73625e-05,-0.00057589,0.000670278,0.00552022,-0.00189509,-0.00426106
1.75649e+09,0.00333721,-5.66667e-05,-0.000582214,0.000634728,0.0002072,-0.00189509,-0.0106526
